"id";"grupo";"caixa";"porta_cto";"status";"rn"
2035729;1055;75;5;L;2
2035730;1055;75;6;L;2
2035731;1055;75;7;L;2
2035732;1055;75;8;L;2
2035733;1055;76;1;L;2
2035734;1055;76;2;L;2
2035735;1055;76;3;L;2
2035736;1055;76;4;L;2
2035737;1055;76;5;L;2
2035738;1055;76;6;L;2
2035739;1055;76;7;L;2
2035740;1055;76;8;L;2
2035741;1055;81;1;L;2
2035742;1055;81;2;L;2
2035743;1055;81;3;L;2
2035744;1055;81;4;L;2
2035745;1055;81;5;L;2
2035746;1055;81;6;L;2
2035747;1055;81;7;L;2
2035748;1055;81;8;L;2
2035749;1055;82;1;L;2
2035750;1055;82;2;L;2
2035751;1055;82;3;L;2
2035752;1055;82;4;L;2
2035753;1055;82;5;L;2
2035754;1055;82;6;A;2
2035755;1055;82;7;L;2
2035756;1055;82;8;L;2
2035757;1055;83;1;L;2
2035758;1055;83;2;L;2
2035759;1055;83;3;L;2
2035760;1055;83;4;L;2
2035761;1055;83;5;L;2
2035762;1055;83;6;L;2
2035763;1055;83;7;L;2
2035764;1055;83;8;L;2
2035765;1055;84;1;A;2
2035766;1055;84;2;L;2
2035767;1055;84;3;L;2
2035768;1055;84;4;L;2
2035769;1055;84;5;L;2
2035770;1055;84;6;L;2
2035771;1055;84;7;L;2
2035772;1055;84;8;L;2
2035773;1055;85;1;L;2
2035774;1055;85;2;L;2
2035775;1055;85;3;L;2
2035776;1055;85;4;L;2
2035777;1055;85;5;L;2
156664;1055;85;6;L;2
2035779;1055;85;7;L;2
2035780;1055;85;8;L;2
2035781;1055;86;1;L;2
2035782;1055;86;2;L;2
2035783;1055;86;3;L;2
2035784;1055;86;4;L;2
2035785;1055;86;5;L;2
2035786;1055;86;6;L;2
2035787;1055;86;7;L;2
2035788;1055;86;8;L;2
2035789;1055;87;1;L;2
2035790;1055;87;2;L;2
2035791;1055;87;3;L;2
2035792;1055;87;4;L;2
2035793;1055;87;5;L;2
2035794;1055;87;6;L;2
2035795;1055;87;7;L;2
2035796;1055;87;8;L;2
2035797;1055;88;1;L;2
2035798;1055;88;2;L;2
2035799;1055;88;3;L;2
2035800;1055;88;4;L;2
2035801;1055;88;5;L;2
2035802;1055;88;6;L;2
2035803;1055;88;7;L;2
156690;1055;88;8;L;2
2035805;1055;89;1;L;2
2035806;1055;89;2;L;2
2035807;1055;89;3;L;2
2035808;1055;89;4;L;2
2035809;1055;89;5;L;2
2035810;1055;89;6;L;2
2035811;1055;89;7;L;2
2035812;1055;89;8;L;2
2035813;1055;90;1;L;2
2035814;1055;90;2;L;2
2035815;1055;90;3;L;2
2035816;1055;90;4;L;2
2035817;1055;90;5;L;2
2035818;1055;90;6;L;2
2035819;1055;90;7;L;2
2035820;1055;90;8;L;2
2035821;1055;91;1;L;2
2035822;1055;91;2;L;2
2035823;1055;91;3;L;2
2035824;1055;91;4;L;2
2035825;1055;91;5;L;2
2035826;1055;91;6;L;2
2035827;1055;91;7;L;2
2035828;1055;91;8;L;2
2035829;1055;92;1;L;2
2035830;1055;92;2;L;2
2035831;1055;92;3;L;2
2035832;1055;92;4;L;2
2035833;1055;92;5;L;2
2035834;1055;92;6;L;2
2035835;1055;92;7;L;2
2035836;1055;92;8;L;2
2035837;1055;93;1;L;2
2035838;1055;93;2;L;2
2035839;1055;93;3;L;2
2035840;1055;93;4;L;2
